image_path,rotation_matrix,translation_vector,calibration_matrix,dataset,scene
temle_ba_al_shamin_4.png,0.7112621344369635;-0.05356735936347312;-0.7008828105518068;0.001977862484114816;0.9972406478525526;-0.07421036538527226;0.702924081374489;0.05139677306452432;0.7094054606093648,14.943852334354215;0.11347719974290106;-5.728826976579652,1161.2690286312848;0.0;512.0;0.0;1161.2690286312848;768.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
dsc_8266.png,0.9849571840027355;0.1372480762779597;0.10498719559737316;0.03434343372960233;-0.7509336166484769;0.6594840649681378;0.16935133374456238;-0.6459579467312387;-0.7443510306392409,-0.03856371601064881;-1.070614770695734e-05;0.4534413189021615,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
img_0281.png,0.2643855714429184;-0.1750203188056635;-0.9484029510803756;0.1942183651349817;0.9729099994613438;-0.1254007958205326;0.9446584018877388;-0.15104310958561434;0.2912155263539561,3.9737130491388974;0.04295558906820592;20.18701560157246,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00022.png,-0.07864462729574728;-0.3742899067439636;-0.9239708265454641;0.4665337694396627;0.8052661530639159;-0.3659134661392795;0.881000150153184;-0.4598407207275547;0.11128902457488932,23.17738313234632;15.358304284552187;36.06808664531816,397.3319425761461;0.0;512.0;0.0;397.3319425761461;384.0;0.0;0.0;1.0,church,church
00035.png,-0.7878208207086632;-0.5055467558894557;0.3517965776803057;0.20374659244629706;0.3251073373285053;0.9234676741942254;-0.5812277355085963;0.7992044149182465;-0.15312290047779475,6.230855404478398;-10.411663088895576;19.654189829201634,884.7537740829681;0.0;288.0;0.0;884.7537740829681;512.0;0.0;0.0;1.0,pond,pond
00943.png,-0.9110799746860638;-0.3766091186234017;0.16762712040641317;-0.05030673142359915;0.5051728884418626;0.8615506865859833;-0.4091485213214334;0.7765088051999217;-0.4791988761959638,-4.18112428089355;-5.42479491434349;22.879407436070355,745.8664171455581;0.0;288.0;0.0;745.8664171455581;512.0;0.0;0.0;1.0,pond,pond
00410.png,0.9622227046742754;0.25731974531781154;0.08896075133955914;-0.2660508288758415;0.8192537481695522;0.507976626002238;0.057830987055383754;-0.5124547246144937;0.8567646889061684,-0.721535215631801;-1.1077517579553475;0.2038826302813643,908.9137946696313;0.0;290.0;0.0;908.9137946696313;512.0;0.0;0.0;1.0,lizard,lizard
00160.png,0.8558289350413997;0.45826389694138553;-0.23989796728192353;-0.3253544777882376;0.8374690713653512;0.43907860149362743;0.40212099886607117;-0.2977242940482884;0.8658284743552856,18.680255442665892;-0.9585486778001353;2.1784940730583693,2284.3762021722773;0.0;512.0;0.0;2284.3762021722773;384.0;0.0;0.0;1.0,pond,pond
00070.png,0.9969806290125844;-0.020705178547778137;-0.07483930087177529;0.028343004526097577;0.9943310665629864;0.10248123809823687;0.0722931495240392;-0.10429297986450733;0.9919156591580135,-24.404344914850864;27.28340453014709;46.01528164225619,389.4674948834709;0.0;384.0;0.0;389.4674948834709;512.0;0.0;0.0;1.0,church,church
00107.png,0.448444103799156;0.3563241295600892;0.8197139747869477;-0.41147758008590196;0.8964394698594779;-0.16456754833413695;-0.793463349408416;-0.2634945759808029;0.5486223852289249,-18.548055010190723;29.452023360801665;50.08386664169125,743.7802141824266;0.0;384.0;0.0;743.7802141824266;512.0;0.0;0.0;1.0,church,church
30.png,0.9983751036194219;0.002837605297246342;0.05691309576086543;0.022124812727090434;-0.9397073693835095;-0.34126317203606293;0.052513285316190005;0.3419678463284251;-0.9382432237659908,-0.012111409020331972;0.02098590787458989;0.4111916240615755,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
dsc_8237.png,0.9839415493023385;0.05127657328619743;0.1709670745744315;0.13122556819974784;-0.8570964711943837;-0.49816211148258605;0.1209912302903286;0.5125976512803784;-0.8500616272333861,-0.03851461520966925;0.020800681381522922;0.4389215936699979,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
3dom_fbk_img_1582.png,-0.9748002790736738;0.04781226049312092;-0.21789539615243247;0.037286854491722275;0.9979421058149994;0.052165543451952213;0.21994114303604195;0.04272635238424095;-0.9745770120477586,-2.0119775616410087;-5.953357804240434;15.936049693386584,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
img_2163.png,0.5205806271742611;-0.041135551985114184;-0.8528210111000627;0.04691747346855498;0.9987077733201589;-0.01953290027665888;0.8525224696711404;-0.029843757685158036;0.521837895167694,38.186882349898255;1.9720126094680273;29.397550976867326,715.9022821549329;0.0;420.0;0.0;715.9022821549329;315.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00470.png,0.9335380027591162;-0.352274335338698;-0.06640474430489825;0.32696784981652693;0.912685800236816;-0.2451461915519798;0.14696537888522404;0.2071410695824501;0.9672092610709231,-3.267697209084548;-10.624538427991434;2.3800194653605105,894.2449048047881;0.0;288.0;0.0;894.2449048047881;512.0;0.0;0.0;1.0,pond,pond
3dom_fbk_img_1517.png,-0.22684249997493144;-0.97080209664054;0.07801134124892134;0.042099295042035634;-0.08979856738456915;-0.9950697797906654;0.9730211352083198;-0.2224398940253554;0.06124021541357949,0.5771615498953696;4.1039720903112835;15.19438643695311,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
img_0409.png,-0.12304308862254532;0.8140326515183116;-0.5676365391729918;0.9715114844432782;-0.017937763934825268;-0.23631265776474292;-0.20254834962803936;-0.5805420560881749;-0.7886349517843296,4.071252138455447;4.7446975213812035;17.492228457398557,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00046.png,0.9842199862013108;-0.08842753627400832;0.15326966298129724;0.06574229586732266;0.9869153078360529;0.14722814164745313;-0.16428319845920003;-0.13482858000949965;0.9771551999128066,0.3512531506915044;-2.070780945565669;3.7892018896761455,708.990410749595;0.0;384.0;0.0;708.990410749595;512.0;0.0;0.0;1.0,lizard,lizard
00109.png,0.13720291073440505;0.4230101642517032;0.8956772645466413;-0.4636147385382083;0.8264965148932157;-0.3193194091807091;-0.8753494933431765;-0.3714376284238249;0.3095114742537487,-12.424818057275301;32.02562983124994;53.74013443198121,743.6909492670976;0.0;384.0;0.0;743.6909492670976;512.0;0.0;0.0;1.0,church,church
19577310688_5d2e78386b_o.png,0.6098445552065759;-0.03934517657340363;-0.7915437925758131;-0.0031983576868391973;0.99863657952658;-0.052103287224130435;0.7925145985992947;0.034306546195454986;0.6088872407064698,18.221291185713778;-0.7842533580446631;-3.7064758557870805,1565.9330544245554;0.0;720.0;0.0;1565.9330544245554;960.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00260.png,-0.09170774057966691;0.6312952471913628;-0.7701012928124257;-0.19101180390721997;0.7478466751485479;0.6357985854320315;0.9772943165116038;0.20540608886510328;0.05200151508618689,10.8788763550466;0.5058710274024042;17.78365172207824,730.7299361085195;0.0;384.0;0.0;730.7299361085195;512.0;0.0;0.0;1.0,pond,pond
00047.png,0.4428125873216321;-0.3657845295900335;-0.8186077756912159;0.31832700804112646;0.9176575451482063;-0.23784983873055787;0.8382033932531571;-0.15526206151267502;0.5227894067344209,-4.978500182975506;20.48093830592503;58.135888476598424,1256.115335959178;0.0;384.0;0.0;1256.115335959178;512.0;0.0;0.0;1.0,church,church
00467.png,0.9646534348031189;0.1282504911175796;-0.23020765028696247;-0.12104812754795098;0.9916169232519072;0.045202083332035535;0.23407499127348005;-0.01573813993205457;0.9720911528307411,-0.8857575360710443;-1.196513184054204;1.6427204044404495,881.327079871257;0.0;290.0;0.0;881.327079871257;512.0;0.0;0.0;1.0,lizard,lizard
19758050972_3e8ee37d98_o.png,0.8723395061082049;-0.02565782061908506;-0.4882268553899636;0.18100419210915794;0.9446105263248322;0.27376712000390924;0.45415995917936736;-0.32718898177873085;0.8286652530912546,7.283639769193263;-7.276760845109497;-14.012375979782606,1582.3355728351369;0.0;960.0;0.0;1582.3355728351369;720.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
dsc_8234.png,0.9826987944024808;0.09989912014461266;0.1559591141108571;0.096641819323451;-0.9949154037072467;0.02834957184685991;0.1579982222614057;-0.012786917547988814;-0.987356600475156,-0.03894368085221561;0.013566351717155143;0.4486402760295666,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
3dom_fbk_img_1565.png,0.46994698936774326;0.7420789375309609;-0.47798397217596617;0.4961971594144769;0.22575647755863237;0.8383450314931934;0.7300261681427582;-0.631152012840995;-0.2621238839052302,5.965041017352039;-3.025704487066798;14.207225294952806,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00050.png,-0.08746591552408556;-0.33856539716741146;-0.9368688197727614;0.4443772956147766;0.8284529844850046;-0.34087310196022547;0.8915596069605393;-0.44613801041691326;0.077989376825355,10.22732504482016;11.158945012503194;28.394643026008215,698.5594423160045;0.0;384.0;0.0;698.5594423160045;512.0;0.0;0.0;1.0,church,church
archive_0132.png,-0.8712048958998131;-0.13563298941228658;-0.4718111079057835;0.4765932205470437;-0.0031897636890543257;-0.8791181533424305;0.11773245724435244;-0.9907540146730139;0.06742070097909225,1.0816741867634427;8.059570648843827;-2.427934497437636,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
isis_destroyed_baalshamin_temple_in_palmyra_600x399.png,0.46670640833567106;-0.049745464948046395;-0.8830121840243887;0.057173280856961654;0.9980254881648611;-0.026006555507062594;0.8825623742118567;-0.038347277483462026;0.4686290024477119,20.682356495207507;1.304937299071564;9.284572864771349,635.3036610806082;0.0;300.0;0.0;635.3036610806082;199.5;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
img_0219.png,0.056225631587861535;0.9976969586395013;-0.03794017756989854;-0.9180356020431055;0.06659998348170126;0.39086452330902327;0.392491161344939;0.012853829068665834;0.9196659542161896,-1.3770421047407324;-1.5766366168864963;24.15391221273064,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00107.png,0.7253125094139169;0.29993256618838615;-0.6196468505748547;-0.10744887222283006;0.9383913860235197;0.32844534780523177;0.6799827229759068;-0.1716451641512428;0.7128544269889641,-0.3713118231423078;-0.07637793638660162;-0.10342597515585177,721.361854445206;0.0;384.0;0.0;721.361854445206;512.0;0.0;0.0;1.0,lizard,lizard
00472.png,0.7865431172761023;0.3042435521392176;-0.5373879284532755;-0.15780365671033095;0.9403453687260936;0.30141100418570477;0.5970326042976545;-0.15227097063162798;0.7876329226920763,-4.063732655585164;-3.331038202999916;7.691771184369955,704.2357004562715;0.0;384.0;0.0;704.2357004562715;512.0;0.0;0.0;1.0,lizard,lizard
00067.png,0.10919320334115357;0.5684690401861203;-0.8154261430037479;-0.6475910786740904;0.6630355944006894;0.37551244370786546;0.7541237558689065;0.48705928890392364;0.44053445940877156,1.2824839256527973;-1.0198590043400175;3.662966720676697,851.5714681343688;0.0;288.0;0.0;851.5714681343688;512.0;0.0;0.0;1.0,lizard,lizard
19578696189_92b41b9b79_o.png,0.9991778141575464;0.019605588292409232;-0.035486851129068596;-0.006512650834110947;0.9415499308985797;0.33681050013916314;0.04001601022667158;-0.33630246584375323;0.9409034862263773,-8.274888318180968;-7.4108435143308276;-13.671058273899726,1583.7104380767619;0.0;960.0;0.0;1583.7104380767619;720.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
00079.png,0.9928506358067144;0.02613970970010833;0.11646600600603198;-0.041778185952757785;0.990109731274661;0.13393021770203867;-0.11181322889846178;-0.1378384402552958;0.9841231458670645,-24.477395480050166;26.01620199086752;39.4157141595655,2090.496598884543;0.0;384.0;0.0;2090.496598884543;512.0;0.0;0.0;1.0,church,church
dsc_8250.png,0.9994665218920685;-0.024236436978524775;0.021892161600837366;0.030317756227711948;0.9377642640281512;-0.34594655478708974;-0.012145174938559537;0.3464257210923084;0.937998781711035,-0.03494868581611044;-0.007339234251427893;0.4120679495253427,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
dsc_8241.png,0.9885962078547116;-0.006411316677130657;0.1504540887903997;0.13955950903733444;-0.33633800710460604;-0.9313430562441318;0.05657456365313033;0.9417195123790137;-0.3316077181732813,-0.03729144647641195;0.020394420901650223;0.4242820356763323,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
00099.png,0.3322963682333523;0.3743573362076198;0.8656995486232274;-0.5022922590869969;0.8471098059372394;-0.17351502282584563;-0.7982991983712658;-0.3771757700495987;0.46952830411732027,-19.805597891713667;31.59270804202577;44.8687480172969,693.5585941383405;0.0;384.0;0.0;693.5585941383405;512.0;0.0;0.0;1.0,church,church
dscn2032.png,0.9964465200597674;-0.008831939771036926;-0.08376353323887545;0.008538593109369615;0.9999560966762451;-0.0038596823341504687;0.08379394422326736;0.0031307443026704807;0.9964781850856641,-14.717514669163089;2.406253808260345;106.29055351670077,3296.4311095391913;0.0;1408.0;0.0;3296.4311095391913;1056.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
dsc_8259.png,0.9945743227170618;0.10391881693947017;0.004774523829551701;-0.04173465592531843;0.3565469793637;0.9333447755258595;0.09528974281995597;-0.9284800110893732;0.3589494865866011,-0.03645475177852396;-0.01979897284677643;0.43933985845578394,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
00032.png,-0.24271161420795528;-0.36008251635573574;-0.9007950120551789;0.450565827137527;0.7804880063953696;-0.4333923249076494;0.8591167020518486;-0.5110568004516746;-0.027192627082585075,21.95411203104684;16.19684234020827;38.7499605972866,699.4297855981051;0.0;384.0;0.0;699.4297855981051;512.0;0.0;0.0;1.0,church,church
dsc_8265.png,0.9861497484081733;0.14001852337993104;0.08890155693237406;0.018911916835489505;-0.6274440741977875;0.7784319322559222;0.1647756447904361;-0.7659691552958153;-0.6214018345799367,-0.03832496317747723;-0.0035711919467925806;0.45306723474264793,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
templic_30.png,-0.9897207988009074;0.016308072678932493;0.14208021391591738;0.03034573189122374;0.994801931010916;0.09720213275920833;-0.13975649171641422;0.10051450055813566;-0.9850710422099864,11.683712556321048;-1.8821196534114732;113.88143982770976,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
01032.png,0.16787292626625883;0.6754443987007741;-0.7180484279563275;-0.45732392436464514;0.6986237308912142;0.550254223826915;0.8733118050447526;0.23600793821265859;0.42617689316771534,10.615178450495828;-4.29312020984298;14.711894572450358,886.3793340502874;0.0;288.0;0.0;886.3793340502874;512.0;0.0;0.0;1.0,pond,pond
15.png,0.9997387804363765;0.02148312869048441;0.007800389301491682;-0.019812994837293728;0.6444821756497782;0.7643625909902354;0.011393688040494713;-0.7643174736007261;0.6447394694149252,-0.011782460846093997;-0.014965823143438903;0.40572970226176547,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
00298.png,0.9563073405606329;0.2209491994377607;-0.1914620632335874;-0.2639539909604169;0.9340853296073354;-0.24044310692640758;0.12571619245712834;0.2804746838489498;0.9515930804045991,-0.40396853103136204;-0.5629600487345991;-0.33253007027964115,892.0595538844061;0.0;288.0;0.0;892.0595538844061;512.0;0.0;0.0;1.0,lizard,lizard
00013.png,-0.9070394452296382;-0.3921941565828237;0.15317698371426025;0.12253040160699696;0.10218145276549995;0.9871905851418764;-0.4028222256523828;0.9141896380144657;-0.04462690071516717,11.79921270820217;-12.611515491100505;17.60452584618457,882.6832705576809;0.0;288.0;0.0;882.6832705576809;512.0;0.0;0.0;1.0,pond,pond
archive_0001.png,-0.9995515164878077;0.02376854844731654;0.018215981764149812;-0.0017916069916351241;0.5597389010846747;-0.8286670940473674;-0.029892407586405552;-0.8283280863988788;-0.5594452835188266,-2.2923870460868083;7.441318746127318;11.777096818263994,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
img_0297.png,0.041383389605227694;0.9845028652130654;-0.17041573710208446;-0.014229048330946792;0.1711252688898397;0.985146525411817;0.9990420157572841;-0.03834384871977409;0.0210902825248398,-3.0038696900958795;-3.1893135833263564;19.96566428488262,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00270.png,0.612645857685747;0.5588234584539014;-0.5589109010764742;-0.1627921701034561;0.7812206126540309;0.6026550121897835;0.7734104747244525;-0.27822777835090706;0.5695836557876426,19.52028571521159;1.5443316187303018;5.710538693411505,730.9985324760562;0.0;384.0;0.0;730.9985324760562;512.0;0.0;0.0;1.0,pond,pond
00868.png,0.2794313147057854;0.34236312615435716;-0.8970538613771262;-0.529750523878862;0.8341753839437824;0.1533486591800352;0.8008011755809727;0.4323643355690419;0.41446176966769,13.667818178763714;-2.153524640834731;15.00296431856858,476.1705906472477;0.0;288.0;0.0;476.1705906472477;512.0;0.0;0.0;1.0,pond,pond
00879.png,-0.09580238453897216;0.601201876619803;-0.7933336036406591;-0.561832004253716;0.6252495482413604;0.5416713038552322;0.8216852816698736;0.49761361112092;0.27787405764896167,8.620834188621812;-7.559530837462033;16.1739622841585,477.3336827969632;0.0;288.0;0.0;477.3336827969632;512.0;0.0;0.0;1.0,pond,pond
dsc_8240.png,0.9872243330402932;0.006548827237483332;0.15920185022468122;0.14166518029921177;-0.4934125601079687;-0.8581812292391927;0.07293211188454682;0.8697707504794085;-0.4880366263576395,-0.03763173679264408;0.021404644443977137;0.4278697444960644,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
00210.png,-0.2344130188997866;0.4553923945265869;-0.8588761864073484;-0.5353051069032141;0.6770184490728652;0.5050687697119183;0.811479500106828;0.578155503841582;0.0850719359369434,-2.2813109606337485;-0.6624766400443063;1.9945757264162658,723.6843088073045;0.0;384.0;0.0;723.6843088073045;512.0;0.0;0.0;1.0,lizard,lizard
13.png,0.9999117101700338;0.012834525136398277;0.0034419223352424276;-0.012853848653428875;0.8685556991836775;0.49542484393735065;0.003369041352287718;-0.49542534491089235;0.8686439875923221,-0.0115976005546401;-0.01445869090121306;0.3991031970001927,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
img_0461.png,-0.5272285902726048;0.7392656083978537;-0.4189467434403966;0.48481549315940625;-0.14320200086280854;-0.8628134934859851;-0.6978423541114167;-0.6580118138673802;-0.2829072314720795,1.6326595681731542;4.992722185155897;9.479163657384516,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
dscn2065.png,0.9669227003293331;0.014192151078173159;0.2546744479440473;-0.015477277995534132;0.9998755896080567;0.0030428887246076813;-0.2545995786596669;-0.006883905411588545;0.9670220609647976,-16.190376306633066;1.4518215260997926;15.955987937132639,3271.3665033808816;0.0;1408.0;0.0;3271.3665033808816;1056.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
dsc_8239.png,0.9859503958504291;0.020571127045381284;0.16576684123933072;0.14103100711078204;-0.6343037095363435;-0.7601112149559122;0.08951017794475241;0.7728102178416879;-0.6282931602713674,-0.03795532192590519;0.02183438142683852;0.4315733850332983,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
3dom_fbk_img_1571.png,-0.6794541362780431;-0.25851390940478425;0.6866677765403829;-0.6670876659072918;0.6073395788068334;-0.43143097015524906;-0.30550961145112876;-0.751205161496507;-0.5851108293750742,-6.041963070805473;2.982625100851464;11.726058566403552,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00072.png,0.4333958924138167;0.44121014593334;-0.7858127051430972;-0.527870520800021;0.831005357061419;0.1754503058006402;0.7304250226471887;0.33876792005841455;0.5930561378403816,1.822262029988669;-0.4088291359416388;3.0901312923495126,861.0011352263978;0.0;288.0;0.0;861.0011352263978;512.0;0.0;0.0;1.0,lizard,lizard
templia_94.png,-0.9615029902638148;0.048856575056576396;0.27041640998187255;0.08503535859432851;0.9886655580149556;0.1237311690064811;-0.261306309725726;0.14196284538116846;-0.9547594267818496,3.0989220404876967;6.312164583120503;37.55667690432149,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
img_0207.png,0.0168813625258728;0.9971354514546306;0.07372863115263002;-0.9956034416982728;0.009968871961913206;0.09313650449937172;0.09213471917699952;-0.07497675002410742;0.9929197754491538,1.8980462781454732;-3.412732327863342;29.23889280512509,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
dsc_8258.png,0.9958721682784165;0.0906950672214923;-0.003609602489775675;-0.04327430409594092;0.5093768241213155;0.8594548188550079;0.07978696042247274;-0.8557509309546624;0.5111989682274128,-0.0361390421976563;-0.020699598158760494;0.43586761557976683,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
00153.png,0.3730647855426671;0.6777898224875163;-0.6335800046721369;-0.3129350688596166;0.7347873384636726;0.6017966516285208;0.8734382110177175;-0.026239736389937818;0.48622748561589535,12.492734006019033;-1.9355525331822045;13.290051347153023,1418.1906650435794;0.0;512.0;0.0;1418.1906650435794;384.0;0.0;0.0;1.0,pond,pond
archive_0005.png,-0.886404229072498;-0.05868349300076193;-0.4591772972737442;0.07772054939841341;0.9589852342245968;-0.2725928039042926;0.45634094587665447;-0.277314926010889;-0.8454876539181255,-0.2081327157995887;2.326559038226865;34.47063136886344,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00093.png,0.5952704451344784;0.22874590539279022;0.7702781367242828;-0.3849082535463046;0.9226566390815907;0.023459810540519516;-0.7053359011856224;-0.3104513442146709;0.6372764152029873,-20.13283890382618;33.95051594276488;48.59193367053032,2103.6100916805212;0.0;384.0;0.0;2103.6100916805212;512.0;0.0;0.0;1.0,church,church
00862.png,0.21422824263220153;0.6152460750907953;-0.7586689180031633;-0.3704962544017721;0.769841869759307;0.5196883884018881;0.903791339598348;0.1697520622875195;0.3928682372197555,12.727116005442614;-2.0459929994273818;15.122686158968822,476.22284327867845;0.0;288.0;0.0;476.22284327867845;512.0;0.0;0.0;1.0,pond,pond
04.png,0.9995276708105233;-0.02256816267742356;0.020859370015773024;0.029327975512817118;0.49769391270506835;-0.8668567581259542;0.009181782855697686;0.8670590794690317;0.4981207158650458,-0.011389007765655301;0.008237801582322509;0.38546171231233306,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
dsc_8251.png,0.999856153016434;-0.013601906206962966;0.010132197329041217;0.015204062626023657;0.9835506009055278;-0.17999181075271017;-0.00751729704359208;0.18011997003639676;0.9836159243522068,-0.034908555289906384;-0.010633406700280923;0.41367802297131095,10924.25385545293;0.0;2859.865377541796;0.0;10924.25385545293;1992.5071366542402;0.0;0.0;1.0,transp_obj_glass_cylinder,transp_obj_glass_cylinder
00104.png,-0.37972417604868913;0.30370326950903387;0.873827142067393;-0.21694930861408826;0.88899966179857;-0.40325252486983537;-0.8993011440090654;-0.3427009270654972;-0.2716864497402023,12.566793771772776;15.191753036514594;55.46170238109914,2240.5846754166746;0.0;512.0;0.0;2240.5846754166746;384.0;0.0;0.0;1.0,church,church
3dom_fbk_img_1538.png,0.212343457025313;-0.9771913266348059;-0.002714297007969546;0.5416002869525979;0.11537672422788126;0.8326808156066208;-0.8133753041686248;-0.17828438702295796;0.553746595395805,2.4197481771662037;-1.5059153783557069;9.234368693958148,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
3dom_fbk_img_1512.png,-0.05272465678151694;-0.9961591532795757;0.06990745242526358;0.7397598096605933;-0.08598687921766923;-0.6673542392263117;0.6708021575533241;0.016528700485072434;0.7414521343162216,2.9040802491196667;4.191275443712152;13.65178761369512,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,dioscuri,dioscuri
00202.png,0.25489289104433066;0.49252224478291196;-0.8321366789711078;-0.5905840087997104;0.7607016818331164;0.2693389682283866;0.7656632044477041;0.42279402745340383;0.48477321265165185,-0.764338365668167;-1.7140496908561687;4.023880805312329,714.0764044837961;0.0;384.0;0.0;714.0764044837961;512.0;0.0;0.0;1.0,lizard,lizard
00002.png,-0.42251199244550386;-0.3181546958925068;-0.848682040414004;0.29416184297052517;0.8375422948399467;-0.4604255797568374;0.8572936640264611;-0.4441852021801067;-0.26028269205673893,19.44491724880328;18.830988686540874;76.71971801033199,735.1082426934227;0.0;512.0;0.0;735.1082426934227;384.0;0.0;0.0;1.0,church,church
19875043841_a36e9ccb18_o.png,0.48752113486602355;0.05009226883929019;0.8716730508977993;-0.30852153319245385;0.9438304830382221;0.1183151843358007;-0.8167849206587513;-0.32661105904480514;0.4755918517953274,-36.03737437616208;1.7145027153844619;5.034162830724042,1422.9215070532587;0.0;960.0;0.0;1422.9215070532587;720.0;0.0;0.0;1.0,multi-temporal-temple-baalshamin,multi-temporal-temple-baalshamin
20.png,0.9990089250477683;0.03408177104590202;0.028628666704501884;-0.022322591723675508;-0.17282461725722215;0.9846996260630106;0.03850804557025497;-0.9843627809665854;-0.17189254164765194,-0.012303705607430259;-0.006809780445175836;0.4194670192553362,5809.066058292364;0.0;2496.9582994472266;0.0;5809.066058292364;1722.4949763575241;0.0;0.0;1.0,transp_obj_glass_cup,transp_obj_glass_cup
00821.png,0.8046475270406351;0.5486220448931403;-0.2270599239950979;-0.3961739484534193;0.78092204187941;0.48291507231988584;0.4422539539610899;-0.2986211920881745;0.845716751543695,7.328958220968986;-2.306023696777217;5.050458105368352,901.281031085286;0.0;288.0;0.0;901.281031085286;512.0;0.0;0.0;1.0,pond,pond
00105.png,0.008291571527329178;0.3965855891592994;0.9179603043230022;-0.48231334077408217;0.8057374671542177;-0.3437455095492159;-0.87595952597877;-0.4398943105963947;0.19795935025143752,-10.705064200346799;30.00682022084199;49.10605982590964,693.4564253452515;0.0;512.0;0.0;693.4564253452515;384.0;0.0;0.0;1.0,church,church
